recid;black;alcohol;drugs;married;felon;educ;rules;age
1;0;1;0;0;0;9;1;280
0;0;0;0;0;1;7;4;349
1;0;0;1;0;0;8;0;338
0;1;0;0;0;0;8;0;244
0;0;0;0;0;0;9;0;253
0;1;1;0;0;0;9;0;253
0;1;0;0;1;0;10;0;357
1;1;1;0;0;0;11;0;233
0;1;0;0;1;0;10;0;408
0;0;0;0;0;1;12;1;297
0;0;0;0;1;1;8;0;349
0;0;0;0;0;0;12;1;369
1;1;0;1;0;0;9;2;243
0;0;1;0;0;1;2;0;303
0;0;1;0;0;0;5;0;625
1;0;0;0;1;0;8;1;279
0;1;1;1;0;0;8;0;281
1;0;1;1;0;0;12;0;332
0;0;0;0;0;1;10;0;308
0;0;0;0;0;1;8;0;622
1;1;1;0;0;0;7;0;636
0;1;0;0;0;0;13;1;331
1;0;1;0;1;0;6;0;575
0;0;0;0;0;0;7;0;215
1;0;0;0;0;1;9;3;265
0;0;0;1;0;1;10;0;508
0;1;0;0;0;0;9;0;210
1;0;0;0;0;0;12;1;495
0;1;0;0;0;0;11;1;512
0;1;1;0;1;0;12;0;281
0;0;0;0;0;0;8;0;471
0;0;0;1;1;0;11;0;503
1;0;0;0;0;0;9;1;220
0;1;0;0;1;1;10;7;323
0;1;0;0;0;0;10;1;275
0;0;0;1;0;1;8;5;355
0;1;0;0;0;1;11;0;256
0;1;0;0;0;0;12;1;289
0;1;0;0;0;0;7;0;361
1;0;0;0;0;1;9;1;276
0;1;0;1;0;0;10;0;498
0;0;0;0;0;0;12;0;483
0;1;1;0;0;1;12;0;308
0;0;0;0;1;0;7;0;629
0;0;0;0;1;0;8;1;274
0;1;0;0;0;0;8;0;437
0;0;0;0;1;1;8;2;260
0;1;0;1;0;0;8;1;303
0;1;0;0;0;0;12;1;274
0;1;0;0;0;0;7;0;269
0;0;1;1;0;0;9;0;553
0;0;0;1;0;1;10;1;361
0;0;0;1;0;0;6;0;432
1;1;0;1;1;1;5;0;409
1;0;0;0;0;0;8;0;254
1;1;0;0;0;1;9;0;325
0;0;0;0;0;0;10;0;241
1;1;0;0;0;1;9;7;266
1;0;0;0;0;0;12;0;420
1;1;0;0;0;1;9;14;209
0;0;0;1;0;0;10;2;398
0;0;1;1;0;0;6;0;355
0;1;0;0;1;0;10;0;357
1;1;0;0;0;1;6;4;383
0;0;0;0;1;0;15;0;474
0;1;0;0;1;0;12;0;302
0;0;0;0;0;0;12;0;269
0;1;0;0;0;0;9;4;250
1;1;0;0;1;0;11;0;470
0;0;0;0;1;0;9;2;306
1;0;0;0;0;0;9;0;213
0;0;1;0;0;0;12;2;299
0;0;1;0;0;0;2;0;734
0;0;0;0;0;0;8;3;284
0;1;0;0;0;0;10;0;487
0;0;0;0;0;0;9;2;214
1;1;1;0;0;0;11;0;561
0;1;0;0;0;1;9;0;769
0;0;0;1;0;1;12;0;549
0;1;0;0;0;0;14;1;257
0;1;0;0;1;1;12;0;452
0;0;0;0;0;0;11;0;292
0;1;0;1;0;1;12;0;341
1;1;1;0;0;0;3;0;663
1;0;1;0;1;0;12;0;323
0;0;0;0;0;0;3;0;499
1;0;1;0;0;0;9;1;601
0;0;1;0;1;0;8;0;370
0;1;0;0;1;1;12;1;366
0;1;0;0;0;0;11;0;232
1;1;0;0;0;0;10;0;286
0;1;0;0;0;0;8;0;322
0;1;1;0;1;0;11;0;546
0;1;0;0;0;0;11;0;246
0;0;0;0;0;0;9;2;247
0;0;0;0;0;0;9;0;220
1;0;1;0;1;0;7;0;509
0;1;0;0;0;0;12;2;228
1;0;0;0;0;0;12;1;301
0;1;1;1;1;1;10;0;422
1;0;0;0;1;1;9;0;251
0;0;0;0;0;1;11;3;323
0;1;1;1;0;0;12;0;438
0;1;0;0;0;1;10;1;287
0;0;1;0;0;1;9;1;433
0;0;0;1;0;0;9;0;353
0;0;0;0;1;0;9;3;247
0;0;1;0;0;0;7;0;576
0;0;1;1;0;0;12;0;397
1;1;0;0;0;0;14;7;317
0;1;0;1;0;1;12;0;451
0;1;0;0;1;1;14;0;320
0;1;1;0;1;0;9;0;508
0;1;0;0;0;0;11;0;229
1;1;0;0;1;1;10;1;323
1;1;0;0;0;0;10;0;272
1;0;0;0;0;0;11;0;827
1;1;0;0;0;1;3;1;425
0;0;0;0;1;1;9;0;426
0;0;0;0;0;0;12;0;360
0;0;1;0;0;0;14;0;506
0;1;0;0;0;0;11;0;228
0;0;1;1;1;1;8;1;639
1;1;0;1;1;0;10;1;293
1;0;0;0;0;0;12;0;321
0;1;0;0;0;0;11;6;289
1;0;0;0;0;0;9;1;203
0;0;1;0;1;0;12;0;336
0;0;0;0;0;0;10;0;238
1;0;0;1;0;0;12;1;406
0;1;0;0;0;1;12;1;278
0;1;0;0;0;0;10;0;249
1;1;0;0;1;1;12;0;324
0;1;0;0;0;0;12;0;272
1;0;1;0;0;0;7;1;420
0;0;0;0;0;0;19;0;473
1;1;0;0;0;0;10;5;250
1;1;0;0;0;0;9;0;300
0;0;0;0;0;1;12;0;488
0;0;0;0;0;0;12;1;285
0;1;0;0;1;0;12;3;287
1;1;0;0;1;0;12;1;349
0;1;0;1;0;0;9;4;339
1;1;0;0;1;1;10;0;311
1;1;0;0;0;0;10;0;349
0;0;0;1;1;0;12;0;611
0;1;0;0;0;1;8;0;271
0;1;0;0;0;0;9;0;436
0;0;0;1;0;0;7;0;338
0;0;1;0;0;0;6;0;697
1;1;0;1;0;0;15;1;501
1;1;0;0;1;0;10;0;261
1;0;0;0;0;1;12;3;283
1;0;0;0;0;0;9;1;216
0;0;0;1;0;0;10;1;296
1;1;0;1;0;0;12;0;280
1;1;1;0;0;0;10;0;599
1;0;0;0;0;0;8;0;229
1;0;0;1;0;0;6;0;638
1;1;0;0;0;1;4;0;292
0;0;0;0;1;0;7;0;353
0;1;0;0;0;1;12;1;291
1;1;0;0;0;0;10;2;241
1;0;0;0;0;0;8;8;237
1;0;0;1;0;1;8;2;308
0;1;0;1;1;0;13;0;318
0;1;0;0;0;0;8;0;212
0;0;0;0;0;1;8;0;275
1;0;0;0;0;1;10;4;245
0;0;0;0;0;0;10;1;247
1;1;1;1;1;0;6;1;572
1;1;0;0;0;1;3;11;361
0;0;1;0;0;0;6;0;398
1;1;1;0;0;0;12;0;441
0;0;0;0;0;0;12;0;255
0;0;1;0;1;0;12;0;355
0;0;1;1;0;1;11;2;420
0;1;1;0;1;0;8;0;439
1;0;0;1;1;0;9;0;262
0;1;0;0;0;1;11;0;233
0;1;0;0;1;0;9;0;413
0;0;0;0;1;0;12;0;362
1;0;0;0;0;0;12;0;397
1;1;0;0;1;0;12;1;303
1;0;1;0;1;0;10;0;234
0;0;0;1;0;0;10;0;251
1;1;0;0;1;0;9;0;537
0;0;0;1;1;0;7;0;532
1;0;1;0;1;0;10;1;228
1;1;0;0;0;1;10;4;267
0;1;0;0;1;1;12;0;302
1;1;0;0;0;0;11;0;294
1;1;0;1;0;0;10;1;260
0;0;0;0;1;0;8;0;452
0;0;0;0;0;0;10;0;203
0;0;0;0;1;0;12;0;304
1;1;0;0;0;0;9;0;237
0;0;1;1;0;0;10;1;219
0;1;0;0;0;1;8;3;248
0;1;0;0;0;1;10;0;647
0;1;0;0;1;0;6;0;442
0;1;0;0;0;1;11;0;238
1;0;0;1;1;0;10;1;578
1;1;0;1;0;0;8;0;325
0;0;1;0;0;0;8;0;608
0;0;1;0;0;0;12;2;550
1;1;1;1;0;0;9;3;300
0;0;0;0;0;1;8;0;243
1;1;0;0;0;0;12;1;385
1;1;1;0;0;0;11;2;270
0;1;0;0;1;0;7;0;311
0;0;1;0;0;0;10;0;646
0;0;1;0;0;0;12;0;393
0;0;0;0;1;0;4;0;451
1;1;0;1;0;1;11;2;267
0;0;0;0;0;0;11;0;207
0;1;0;0;0;0;10;0;333
0;0;1;0;0;0;10;1;262
0;0;1;1;0;0;10;1;246
1;0;1;0;0;0;8;1;232
1;0;0;1;0;1;8;2;265
1;0;0;0;0;1;10;7;268
1;1;1;0;0;0;11;0;350
1;0;0;1;0;0;6;0;429
1;1;0;0;1;1;9;2;295
1;0;0;0;0;0;11;0;354
1;0;1;1;0;1;10;0;235
0;1;0;0;0;0;12;0;326
1;1;0;0;0;0;11;1;341
0;0;1;1;1;0;11;5;352
0;1;0;1;1;0;4;0;604
0;0;1;1;0;0;8;0;244
0;0;0;0;0;1;13;1;294
0;0;1;1;0;1;1;1;614
0;1;0;0;1;1;7;0;697
1;1;0;0;0;0;11;1;304
0;1;0;0;0;1;12;1;424
1;1;0;1;0;0;8;1;280
0;1;0;1;0;0;10;1;266
0;1;0;0;0;0;13;1;234
0;1;1;0;1;0;11;0;310
0;0;0;1;1;1;3;0;587
1;0;0;1;0;0;12;1;546
0;0;0;0;0;1;10;4;315
1;1;1;0;0;0;11;3;306
1;0;0;0;1;1;12;0;317
0;1;0;0;0;0;11;0;219
0;1;0;0;0;0;9;0;284
1;1;0;0;0;0;9;6;266
1;1;0;1;0;1;11;1;323
0;0;1;0;0;0;9;0;242
0;1;0;0;0;1;11;0;238
1;1;0;0;1;0;6;1;582
0;0;0;0;0;0;8;1;230
1;0;0;1;0;0;10;1;239
1;1;0;0;0;1;11;1;258
0;1;0;0;1;0;8;1;337
0;0;0;0;1;1;9;0;415
1;0;0;1;0;0;12;0;236
0;1;0;0;0;0;8;0;306
0;0;0;0;0;1;8;1;357
1;1;0;1;0;1;8;2;238
0;1;0;0;0;1;9;0;253
1;1;0;0;0;0;8;3;286
0;0;1;1;0;1;10;7;264
1;0;1;0;0;0;8;0;311
1;1;0;0;0;0;10;3;308
0;0;0;1;0;0;10;0;315
1;1;1;0;0;0;10;0;213
0;1;1;0;0;0;9;0;707
0;1;0;0;1;1;6;0;312
0;0;0;0;0;0;3;0;860
1;1;0;0;0;0;12;2;363
1;0;0;1;0;0;8;1;263
0;0;0;0;1;0;12;1;275
1;1;0;0;0;0;12;0;311
1;0;0;1;0;0;10;4;227
1;0;0;0;1;1;9;3;284
0;0;0;0;0;1;3;0;708
0;1;1;0;0;1;9;0;303
1;1;0;1;1;1;10;4;401
1;1;0;1;0;0;8;0;591
0;0;0;1;0;0;9;0;230
1;1;0;1;0;0;11;1;288
0;1;0;0;0;1;4;1;488
0;1;1;0;0;0;12;1;454
0;1;0;0;0;1;12;0;350
1;1;0;0;0;0;10;1;222
1;0;0;1;0;0;9;1;259
1;1;0;0;0;0;9;0;238
1;0;1;0;0;0;9;3;240
1;1;0;0;1;0;11;0;563
0;0;0;0;0;0;13;1;413
0;1;0;0;0;1;12;2;253
0;0;0;1;0;1;10;5;363
1;0;0;0;0;0;9;0;227
0;0;0;0;0;0;8;0;486
0;1;0;0;1;0;12;0;310
0;1;0;1;0;0;3;0;631
0;0;0;1;0;0;4;0;786
0;1;0;0;0;1;9;1;298
1;0;0;1;0;0;10;0;208
0;0;0;0;0;0;8;0;322
0;1;1;0;0;0;11;0;416
0;1;0;0;0;1;13;0;369
1;0;0;1;0;0;10;1;255
0;0;0;0;0;0;4;3;610
0;0;1;0;1;0;9;0;258
0;0;0;0;0;0;6;3;413
0;1;0;0;0;1;11;21;258
0;0;0;1;0;0;7;0;407
1;0;0;1;1;1;5;1;439
0;0;1;0;1;0;9;0;570
1;1;0;0;0;1;8;0;332
0;0;0;1;0;1;12;1;304
0;0;0;0;1;1;11;7;310
1;1;0;0;0;0;10;1;327
0;0;1;1;0;0;8;0;633
1;1;1;0;1;0;11;0;330
0;0;0;1;0;0;9;0;332
0;1;0;0;1;1;14;0;372
0;0;1;0;1;0;9;0;444
1;0;1;0;0;0;12;0;424
0;0;0;0;1;0;12;0;568
1;1;1;0;1;1;11;0;371
1;1;0;1;0;0;9;0;427
0;0;0;0;0;1;12;1;344
0;0;0;1;0;0;5;1;503
0;0;0;1;0;1;12;3;280
0;1;0;0;0;0;14;1;297
0;0;0;1;1;0;12;2;362
1;0;1;0;0;0;10;0;216
1;1;0;0;0;1;9;4;294
0;0;0;1;0;0;12;0;298
0;0;0;0;0;0;10;1;297
1;0;0;0;0;0;8;1;236
0;0;0;0;0;0;12;0;247
0;0;1;0;0;0;6;0;768
0;0;0;0;0;1;11;0;261
0;0;0;1;0;0;8;4;362
1;1;0;0;0;0;10;6;279
0;0;1;1;0;0;9;0;291
1;0;1;0;0;0;10;0;281
1;1;0;0;1;0;12;2;340
1;0;0;0;0;0;15;3;554
0;0;0;0;1;1;8;0;318
1;0;0;1;0;1;9;7;249
0;0;0;1;0;0;10;0;580
0;0;0;0;0;1;10;0;240
0;1;0;0;1;0;6;0;509
0;0;0;0;0;1;8;0;251
0;1;0;0;1;1;12;0;367
0;0;0;0;0;0;10;0;240
0;1;0;0;0;0;12;1;302
1;0;0;0;0;0;6;0;387
0;1;0;0;0;1;12;2;360
0;1;0;0;1;0;11;4;316
1;1;0;0;0;1;10;1;249
0;1;0;0;1;0;10;0;365
0;0;1;0;1;0;3;0;698
1;1;1;1;0;1;10;3;257
0;0;0;1;0;0;11;0;253
0;1;0;0;0;1;8;1;251
0;1;0;0;1;0;12;0;347
0;0;0;0;0;1;9;1;267
0;1;0;0;1;0;12;0;334
0;1;1;0;0;0;12;2;313
1;0;0;0;0;0;12;2;285
1;1;0;0;0;0;9;1;250
0;1;1;0;0;0;10;0;249
1;0;0;0;0;0;10;0;254
1;1;0;0;0;0;12;0;259
0;1;0;0;0;0;10;0;232
0;1;0;0;0;0;12;1;262
0;1;0;0;0;0;9;0;249
0;0;0;0;1;1;11;3;354
0;1;0;0;0;0;11;0;268
1;0;0;1;0;0;10;2;382
1;1;0;0;0;0;10;1;270
0;1;0;0;0;1;9;2;259
0;1;0;1;0;0;12;0;332
0;1;0;1;0;1;10;3;319
0;1;0;1;0;0;11;0;220
1;0;0;1;0;0;9;1;231
0;1;0;0;0;0;11;0;289
1;1;0;0;0;1;12;10;240
0;0;0;0;1;0;12;0;340
1;1;0;1;1;0;11;3;292
0;0;0;0;1;1;9;1;403
1;1;0;0;0;0;11;0;201
1;1;0;0;0;0;8;1;216
1;0;0;1;0;0;10;10;253
0;0;0;0;1;0;11;2;260
0;0;0;0;1;1;7;1;563
0;1;0;0;0;1;7;0;308
1;0;1;1;0;0;14;1;358
0;0;0;0;0;1;14;0;251
0;0;0;1;0;1;11;2;271
0;0;1;0;1;1;13;0;351
0;0;0;1;0;0;8;0;680
1;1;0;1;0;1;10;2;279
0;0;0;1;1;0;8;1;353
1;1;1;0;0;0;15;0;618
1;0;0;1;0;0;10;0;365
0;0;0;1;1;0;8;0;315
0;1;0;1;0;0;9;2;256
0;0;0;1;0;0;9;27;274
0;0;0;0;1;0;12;1;302
0;1;0;0;0;0;12;0;241
1;1;0;1;0;0;9;0;247
0;0;1;1;0;0;11;3;276
1;1;0;0;0;0;12;1;321
0;0;0;0;0;0;12;0;328
0;0;0;0;0;0;12;0;239
0;1;0;0;0;0;11;0;295
0;0;0;0;0;1;12;1;394
0;1;0;0;0;1;8;0;368
0;0;0;0;0;0;16;0;335
0;0;0;0;1;1;11;0;376
0;0;0;0;0;0;9;0;296
1;1;0;0;0;1;11;0;237
0;0;0;0;0;0;8;0;806
0;1;0;0;0;1;12;1;289
0;0;1;0;1;0;7;0;299
0;0;0;0;1;0;10;0;308
0;1;0;0;0;0;6;0;355
0;1;0;0;0;0;9;0;253
0;1;0;0;0;0;10;1;329
0;0;0;0;1;1;9;1;336
0;0;0;0;1;0;7;0;321
1;0;1;0;1;0;12;0;571
1;0;0;1;0;0;8;1;381
1;0;1;0;1;0;8;0;301
0;1;1;0;0;0;11;0;521
0;0;0;0;1;0;8;1;354
0;1;1;0;0;0;8;1;280
0;1;0;1;0;0;14;4;320
0;1;0;0;0;1;9;0;239
0;0;0;0;1;1;11;0;279
0;1;0;1;0;0;8;2;471
0;1;0;1;1;0;9;2;493
0;1;1;0;1;1;10;0;335
0;1;0;1;0;1;9;2;339
1;1;0;0;1;1;9;2;374
1;0;0;0;0;1;8;3;238
1;0;1;0;0;0;8;0;294
0;0;0;0;0;0;11;2;274
1;1;0;1;0;0;10;5;294
0;0;1;0;0;1;14;4;295
0;1;0;0;0;1;8;0;302
0;0;1;0;0;1;11;4;349
0;0;1;0;0;0;8;1;376
0;0;0;0;0;1;8;2;462
1;0;0;0;0;1;8;3;238
0;0;0;0;0;1;12;2;387
0;0;0;0;1;1;9;1;314
1;0;1;1;1;1;9;0;364
1;1;1;0;0;0;9;0;512
0;0;0;0;0;1;4;2;264
1;0;0;1;0;0;7;2;230
0;0;1;0;0;0;10;0;282
1;0;0;0;0;0;7;0;338
1;1;1;0;1;0;9;1;283
0;0;0;1;0;0;11;0;255
0;1;1;0;0;1;9;3;273
0;1;0;0;0;0;10;0;247
0;1;0;0;1;0;12;0;288
1;0;1;0;1;0;7;0;334
0;0;1;1;0;0;15;0;506
0;0;0;1;0;0;11;2;554
1;0;1;0;1;1;10;3;458
0;0;0;0;0;1;12;0;253
0;0;0;0;0;0;9;1;309
0;1;0;0;1;0;7;0;425
0;0;1;0;0;0;18;0;473
0;1;0;0;0;1;10;0;276
1;1;0;0;0;0;14;0;327
0;1;0;1;0;0;1;0;563
1;0;0;1;0;0;12;0;720
0;0;1;0;0;0;12;0;304
0;0;0;0;1;1;4;0;657
0;0;0;1;1;0;3;1;477
1;1;0;0;0;0;7;0;477
0;1;0;0;1;1;9;1;325
1;1;0;0;1;0;11;0;234
0;1;0;0;0;0;13;1;263
1;1;0;1;0;1;8;0;243
0;0;0;0;0;1;12;2;276
0;1;0;1;1;0;3;0;577
1;0;0;1;0;0;8;0;251
1;1;0;0;0;0;11;0;245
1;1;0;1;1;1;10;15;324
0;1;0;0;1;1;8;0;266
0;1;0;0;0;1;8;0;353
0;0;1;1;0;1;11;5;323
0;0;0;1;0;0;12;1;330
0;1;0;1;1;0;5;1;313
0;1;1;0;0;0;12;0;487
1;0;1;0;0;0;10;1;353
0;1;0;0;0;0;11;0;257
1;1;0;1;0;0;10;1;293
0;1;0;0;0;1;2;0;464
0;1;0;0;0;0;11;0;283
0;0;0;0;0;1;13;0;286
1;0;1;0;0;1;12;4;359
1;1;0;0;0;1;10;1;374
0;1;0;0;0;1;10;1;253
0;1;0;1;0;0;16;0;307
1;1;0;0;0;0;8;1;212
1;1;0;0;0;0;11;0;315
1;1;0;1;0;0;9;1;304
0;0;0;0;0;0;7;4;285
1;0;0;0;0;0;12;1;234
0;0;1;0;1;0;9;2;299
0;0;0;1;1;0;9;2;261
0;1;0;0;1;1;10;7;322
0;1;0;0;0;1;10;1;287
0;1;0;0;0;0;11;0;215
0;0;0;0;0;0;11;0;290
0;0;0;0;1;1;7;0;296
0;1;0;0;0;0;10;1;278
1;1;0;0;0;0;7;7;235
0;1;0;1;0;0;10;2;280
1;1;0;1;0;1;9;5;279
0;1;0;1;0;0;18;0;528
0;0;1;0;1;0;12;0;634
1;1;0;0;0;1;8;1;250
0;0;1;1;0;0;9;0;224
1;1;1;0;1;0;11;0;406
0;0;0;1;0;1;7;10;263
0;0;0;1;0;0;7;0;430
0;1;0;0;1;1;12;0;348
0;0;0;0;1;0;9;0;455
0;0;0;0;0;0;9;0;232
1;0;0;1;0;1;13;0;349
1;1;0;0;0;1;15;0;335
1;1;0;0;0;0;12;2;282
1;1;0;0;0;0;12;0;439
1;0;1;0;1;0;11;3;311
0;1;0;1;0;1;11;3;309
0;1;0;1;1;0;8;0;323
0;1;0;0;0;0;12;0;366
0;0;1;0;0;0;7;0;383
1;1;1;0;1;0;3;0;590
0;0;1;0;1;0;9;1;302
0;0;1;0;0;0;7;0;410
0;0;0;1;0;0;8;1;474
0;1;0;0;1;1;12;0;282
0;0;1;0;0;0;7;0;234
0;1;0;0;0;0;8;1;327
1;1;0;1;1;1;12;1;490
0;1;1;0;0;1;10;4;323
0;0;0;0;0;1;12;1;336
0;1;0;0;0;0;9;0;280
1;1;0;0;0;0;12;3;263
0;0;1;0;0;0;10;0;258
0;0;0;1;1;1;6;3;450
1;1;0;0;0;1;9;2;306
0;0;0;1;0;0;10;1;232
1;1;0;1;0;1;11;2;362
1;0;0;0;1;0;9;7;279
0;1;0;0;1;0;11;0;303
0;0;0;0;1;0;9;0;248
0;0;0;1;0;0;9;0;326
1;0;0;1;0;1;8;0;691
0;1;0;0;0;0;12;1;323
1;0;0;0;0;0;12;1;295
1;1;0;1;0;0;6;0;415
0;0;0;0;1;1;11;0;243
0;0;1;0;1;1;10;16;380
1;1;0;0;0;1;11;3;266
1;1;0;0;0;1;9;4;254
0;1;0;0;0;1;18;0;434
0;0;0;0;0;1;7;0;467
0;0;0;0;0;0;10;3;230
0;0;0;1;1;1;4;4;578
1;1;0;0;1;0;9;0;362
1;1;0;0;0;0;10;0;258
1;1;0;0;1;1;10;1;295
0;0;1;1;1;0;13;0;331
0;1;0;0;0;0;9;2;246
0;1;0;0;0;1;11;7;393
0;0;0;0;1;0;2;0;694
0;0;0;0;0;0;8;1;232
1;0;0;1;0;0;10;6;228
0;0;0;0;0;0;9;0;200
0;0;1;1;0;0;7;0;335
1;0;1;0;0;0;8;3;433
0;1;1;0;0;0;2;0;426
0;0;0;0;0;1;10;3;275
0;0;1;0;0;0;6;1;550
0;0;0;0;0;1;8;0;421
0;0;0;0;1;1;10;2;463
0;0;0;0;0;0;4;0;347
1;1;0;0;0;1;9;7;335
0;1;0;0;1;1;14;1;372
0;0;0;0;1;0;9;0;387
0;1;0;0;0;0;16;0;307
1;0;1;0;0;0;9;0;402
1;1;0;0;0;0;9;0;397
1;0;1;1;1;1;8;13;294
1;0;1;0;0;0;9;0;268
1;1;0;1;0;1;10;0;231
1;1;0;0;0;1;8;1;256
0;1;1;0;0;0;12;0;477
1;1;0;0;0;0;12;0;276
0;0;1;0;0;0;7;1;251
1;0;0;0;0;0;12;2;280
1;0;0;1;0;0;8;2;241
0;0;0;0;0;0;9;2;263
0;0;0;0;0;0;8;0;350
0;1;0;0;0;0;10;6;285
0;0;0;0;0;0;9;0;271
0;0;0;1;0;0;14;1;610
0;1;1;1;0;0;2;0;460
1;1;0;0;1;1;10;0;475
0;0;0;0;0;0;10;0;218
1;0;1;0;0;1;12;2;422
1;0;0;0;0;1;8;3;252
1;0;0;0;0;0;11;0;358
1;0;0;0;0;0;8;0;235
0;1;1;0;0;0;12;0;332
1;0;0;0;0;1;9;0;324
1;1;0;0;0;0;11;0;339
0;0;0;1;0;1;12;1;269
0;0;0;0;0;1;9;3;287
0;0;0;1;0;0;10;0;223
0;0;0;0;0;1;8;1;240
0;1;0;0;0;0;11;2;322
1;1;1;0;1;0;12;0;461
1;0;0;0;0;1;12;1;620
1;1;0;0;1;0;11;2;402
0;1;0;0;0;0;10;0;273
0;0;1;1;1;0;12;0;717
1;0;0;0;0;1;10;5;241
0;0;0;0;0;0;10;0;261
1;0;0;0;0;1;13;2;339
1;1;0;1;0;0;9;1;328
1;1;0;0;0;0;6;0;476
1;1;0;1;0;1;9;2;257
0;0;0;0;0;0;4;0;593
0;1;0;0;1;0;10;2;353
0;0;0;1;0;0;12;0;241
0;0;1;1;0;0;13;0;496
1;1;0;0;0;0;9;0;204
0;1;0;1;0;0;9;1;273
0;0;0;1;1;0;11;1;297
0;0;0;0;1;0;10;2;327
0;0;0;1;1;0;12;1;278
1;0;1;1;1;0;9;1;260
1;0;1;0;1;0;12;0;355
1;0;0;0;0;0;9;0;229
0;0;0;1;0;1;3;0;642
1;1;0;0;0;1;12;5;250
0;1;0;0;0;0;11;0;235
0;0;0;1;1;0;8;0;537
1;0;0;1;0;0;9;2;272
0;0;0;1;0;0;7;1;508
0;0;0;0;0;1;14;3;387
0;1;0;0;0;1;13;1;271
1;0;1;0;0;0;10;0;484
0;0;0;0;1;0;7;0;799
1;1;0;1;0;0;7;0;253
1;0;0;1;0;0;8;2;240
1;0;1;1;0;0;8;0;344
0;1;1;0;0;1;8;0;313
0;1;0;0;0;0;9;0;247
1;1;0;0;0;1;12;0;343
0;0;1;0;0;0;13;0;314
0;0;0;1;1;0;12;0;297
0;0;1;0;0;0;12;0;463
0;0;0;0;0;0;7;1;288
0;1;0;0;0;0;10;1;237
1;1;0;0;0;1;10;1;406
0;0;0;1;0;0;12;0;246
0;1;0;0;0;0;12;0;290
0;1;0;0;0;0;10;0;412
